GENESIS-Tabelle: 12421-0002
Vorausberechneter Bevölkerungsstand: Deutschland, Stichtag,;;;;;;
Varianten der Bevölkerungsvorausberechnung, Geschlecht,;;;;;;
Altersjahre;;;;;;
Bevölkerungsvorausberechnungen;;;;;;
Deutschland;;;;;;
Vorausberechneter Bevölkerungsstand (1000);;;;;;
;;;;Stichtag;Stichtag;Stichtag
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;68-Jährige;956;992;983
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;69-Jährige;946;969;996
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;70-Jährige;917;957;1059
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;71-Jährige;907;896;1027
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;72-Jährige;867;867;1027
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;73-Jährige;781;842;985
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;74-Jährige;724;808;948
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;75-Jährige;620;769;899
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;76-Jährige;535;759;870
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;77-Jährige;701;743;847
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;78-Jährige;695;777;836
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;79-Jährige;655;824;801
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;80-Jährige;770;821;775
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;81-Jährige;778;843;707
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;82-Jährige;730;839;663
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;83-Jährige;641;813;622
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;84-Jährige;558;782;573
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;85-Jährige;497;729;519
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;86-Jährige;436;682;484
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;87-Jährige;362;615;445
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;88-Jährige;257;534;432
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;89-Jährige;222;465;421
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;90-Jährige;192;391;381
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;91-Jährige;169;324;351
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;92-Jährige;134;256;310
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;93-Jährige;105;205;263
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;94-Jährige;77;160;218
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;95-Jährige;58;121;172
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;96-Jährige;42;91;135
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;97-Jährige;28;65;100
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;98-Jährige;19;47;71
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;99-Jährige;13;33;51
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;100 Jahre und mehr;19;57;92
BEV-VARIANTE-08;Geringe Steigung der Lebenserwartung (G2L1W2);Insgesamt;Insgesamt;83476;79059;76679
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;unter 1 Jahr;405;356;347
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;1-Jährige;408;356;351
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;2-Jährige;411;355;354
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;3-Jährige;411;355;357
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;4-Jährige;411;354;360
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;5-Jährige;415;353;362
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;6-Jährige;402;352;364
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;7-Jährige;396;351;365
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;8-Jährige;382;351;365
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;9-Jährige;381;352;365
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;10-Jährige;372;353;365
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;11-Jährige;381;355;364
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;12-Jährige;376;357;363
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;13-Jährige;385;360;362
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;14-Jährige;383;363;361
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;15-Jährige;377;366;360
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;16-Jährige;381;370;360
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;17-Jährige;391;375;360
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;18-Jährige;394;381;362
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;19-Jährige;406;388;365
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;20-Jährige;423;396;369
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;21-Jährige;452;405;375
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;22-Jährige;471;415;381
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;23-Jährige;488;424;387
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;24-Jährige;514;433;395
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;25-Jährige;511;442;402
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;26-Jährige;503;450;409
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;27-Jährige;510;457;416
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;28-Jährige;523;464;423
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;29-Jährige;530;469;430
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;30-Jährige;546;474;438
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;31-Jährige;595;477;445
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;32-Jährige;584;479;452
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;33-Jährige;597;480;459
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;34-Jährige;582;485;465
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;35-Jährige;568;473;471
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;36-Jährige;549;469;477
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;37-Jährige;543;456;483
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;38-Jährige;542;456;487
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;39-Jährige;551;448;491
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;40-Jährige;542;457;494
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;41-Jährige;543;452;496
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;42-Jährige;515;462;496
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;43-Jährige;508;461;496
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;44-Jährige;503;455;500
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;45-Jährige;491;459;487
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;46-Jährige;478;469;481
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;47-Jährige;481;471;467
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;48-Jährige;483;479;466
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;49-Jährige;523;493;457
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;50-Jährige;574;517;464
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;51-Jährige;593;531;458
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;52-Jährige;636;542;467
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;53-Jährige;664;561;464
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;54-Jährige;678;552;456
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;55-Jährige;694;539;459
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;56-Jährige;694;540;467
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;57-Jährige;702;547;467
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;58-Jährige;692;548;474
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;59-Jährige;664;558;485
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;60-Jährige;647;598;506
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;61-Jährige;621;582;518
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;62-Jährige;599;587;526
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;63-Jährige;560;567;542
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;64-Jährige;541;547;530
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;65-Jährige;519;523;514
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;66-Jährige;495;511;512
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;67-Jährige;476;503;517
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;68-Jährige;453;503;514
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;69-Jährige;446;487;520
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;70-Jährige;431;480;554
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;71-Jährige;425;448;535
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;72-Jährige;405;433;537
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;73-Jährige;365;421;514
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;74-Jährige;334;402;492
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;75-Jährige;284;383;466
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;76-Jährige;241;376;450
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;77-Jährige;315;367;437
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;78-Jährige;310;385;432
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;79-Jährige;290;409;412
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;80-Jährige;334;407;399
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;81-Jährige;331;419;364
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;82-Jährige;306;417;343
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;83-Jährige;264;405;323
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;84-Jährige;225;390;299
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;85-Jährige;196;364;273
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;86-Jährige;167;341;256
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;87-Jährige;135;308;237
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;88-Jährige;92;268;234
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;89-Jährige;77;233;231
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;90-Jährige;64;197;213
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;91-Jährige;54;165;201
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;92-Jährige;41;132;181
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;93-Jährige;31;106;157
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;94-Jährige;21;84;134
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;95-Jährige;14;64;109
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;96-Jährige;9;48;88
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;97-Jährige;5;35;68
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;98-Jährige;3;26;50
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;99-Jährige;2;18;37
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;100 Jahre und mehr;3;34;74
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);männlich;Insgesamt;41237;40320;39670
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;unter 1 Jahr;385;338;329
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;1-Jährige;389;338;334
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;2-Jährige;392;338;337
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;3-Jährige;393;338;341
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;4-Jährige;393;338;344
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;5-Jährige;398;337;346
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;6-Jährige;383;336;347
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;7-Jährige;377;336;349
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;8-Jährige;363;336;349
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;9-Jährige;362;337;350
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;10-Jährige;354;338;350
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;11-Jährige;363;340;349
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;12-Jährige;357;342;348
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;13-Jährige;366;345;347
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;14-Jährige;363;348;346
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;15-Jährige;356;351;346
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;16-Jährige;362;356;345
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;17-Jährige;370;360;346
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;18-Jährige;373;366;348
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;19-Jährige;384;374;352
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;20-Jährige;399;383;357
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;21-Jährige;424;393;363
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;22-Jährige;432;403;370
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;23-Jährige;450;412;377
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;24-Jährige;471;421;384
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;25-Jährige;469;430;391
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;26-Jährige;460;437;398
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;27-Jährige;467;444;404
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;28-Jährige;481;450;411
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;29-Jährige;489;455;417
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;30-Jährige;506;460;424
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;31-Jährige;549;463;430
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;32-Jährige;544;465;437
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;33-Jährige;554;465;443
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;34-Jährige;543;470;449
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;35-Jährige;536;456;455
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;36-Jährige;520;451;460
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;37-Jährige;517;438;465
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;38-Jährige;520;437;470
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;39-Jährige;530;430;474
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;40-Jährige;529;439;477
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;41-Jährige;531;433;479
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;42-Jährige;506;444;479
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;43-Jährige;498;441;479
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;44-Jährige;493;434;483
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;45-Jährige;485;440;468
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;46-Jährige;470;450;463
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;47-Jährige;477;451;449
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;48-Jährige;481;459;447
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;49-Jährige;517;469;439
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;50-Jährige;566;489;447
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;51-Jährige;586;491;440
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;52-Jährige;626;503;449
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;53-Jährige;654;518;446
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;54-Jährige;670;511;438
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;55-Jährige;686;497;443
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;56-Jährige;685;500;451
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;57-Jährige;697;510;452
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;58-Jährige;690;514;458
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;59-Jährige;668;526;467
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;60-Jährige;658;564;485
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;61-Jährige;634;555;486
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;62-Jährige;614;561;496
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;63-Jährige;578;546;510
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;64-Jährige;564;535;501
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;65-Jährige;547;516;486
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;66-Jährige;531;509;487
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;67-Jährige;522;506;495
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;68-Jährige;504;512;497
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;69-Jährige;500;505;507
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;70-Jährige;487;502;542
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;71-Jährige;483;474;531
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;72-Jährige;462;462;534
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;73-Jährige;417;451;517
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;74-Jährige;390;438;504
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;75-Jährige;336;420;483
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;76-Jährige;295;420;474
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;77-Jährige;387;415;468
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;78-Jährige;386;439;469
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;79-Jährige;366;470;458
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;80-Jährige;437;475;450
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;81-Jährige;448;494;419
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;82-Jährige;426;500;400
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;83-Jährige;378;494;383
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;84-Jährige;335;485;362
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;85-Jährige;303;462;337
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;86-Jährige;271;445;324
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;87-Jährige;229;413;308
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;88-Jährige;166;370;309
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;89-Jährige;146;335;313
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;90-Jährige;130;292;296
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;91-Jährige;117;252;285
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;92-Jährige;94;208;264
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;93-Jährige;75;175;237
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;94-Jährige;57;143;208
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;95-Jährige;44;115;175
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;96-Jährige;33;92;147
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;97-Jährige;23;70;118
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;98-Jährige;16;54;91
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;99-Jährige;11;40;70
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;100 Jahre und mehr;16;84;162
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);weiblich;Insgesamt;42276;40975;40026
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);Insgesamt;unter 1 Jahr;791;694;676
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);Insgesamt;1-Jährige;798;694;684
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);Insgesamt;2-Jährige;803;694;692
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);Insgesamt;3-Jährige;804;693;698
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);Insgesamt;4-Jährige;804;691;704
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);Insgesamt;5-Jährige;812;690;708
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);Insgesamt;6-Jährige;784;688;711
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);Insgesamt;7-Jährige;773;688;713
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);Insgesamt;8-Jährige;745;688;715
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);Insgesamt;9-Jährige;743;689;715
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);Insgesamt;10-Jährige;727;692;715
BEV-VARIANTE-09;Starke Steigung der Lebenserwartung (G2L3W2);Insgesamt;11-Jährige;744;695;713
